label,text
spam,Limited time offer. Click http://bit.ly/win.
ham,Stuck in traffic will be late later.
spam,Lottery payout ready. Terms apply.
ham,Great job on the report at the cafe.
ham,On my way now after work.
ham,Happy birthday have a great day after work.
ham,Meeting moved to Friday before noon.
ham,Let’s catch up tomorrow after work.
ham,I will call you later at the cafe.
spam,Exclusive offer just for you. Act fast.
spam,Act now to claim. Terms apply.
ham,Stuck in traffic will be late today.
spam,Get rich quick scheme. Click http://bit.ly/win.
spam,Claim your FREE reward. Act fast.
ham,Thanks for your help before noon.
ham,Family dinner tonight? after work.
spam,Click this link to verify. Reply STOP to opt out.
spam,Final notice for reward. Text WIN to 80055.
spam,Lottery payout ready. No purchase necessary.
ham,Stuck in traffic will be late today.
spam,Congratulations you won. Limited stock.
ham,Where did you park please.
ham,Great job on the report today.
ham,Happy birthday have a great day please.
spam,Lottery payout ready. Terms apply.
spam,WIN a prize now. Click http://bit.ly/win.
ham,Meeting moved to Friday thanks.
spam,Pre-approved credit. Act fast.
spam,Free subscription today. Click http://bit.ly/win.
spam,Claim your FREE reward. 100% guaranteed.
ham,Meeting moved to Friday after work.
spam,Limited time offer. Text WIN to 80055.
spam,Cheap meds available. Click http://bit.ly/win.
spam,Congratulations you won. No purchase necessary.
ham,Stuck in traffic will be late thanks.
spam,Limited time offer. Call 0906 123 4567.
ham,Email me the details please.
spam,Free subscription today. 100% guaranteed.
ham,Thanks for your help at the library.
spam,Exclusive offer just for you. Text WIN to 80055.
spam,Claim your FREE reward. Act fast.
spam,Act now to claim. Click http://bit.ly/win.
ham,Lunch at 1 pm? today.
spam,Exclusive offer just for you. Reply STOP to opt out.
ham,See you at the office tomorrow.
spam,Lottery payout ready. Terms apply.
spam,Limited time offer. Click http://bit.ly/win.
ham,On my way now please.
spam,You won a gift card. 100% guaranteed.
ham,Don’t forget to bring the charger later.
spam,Earn $$$ working from home. Text WIN to 80055.
spam,Lottery payout ready. Text WIN to 80055.
spam,Earn $$$ working from home. Terms apply.
spam,Final notice for reward. Act fast.
spam,Limited time offer. Text WIN to 80055.
ham,That sounds good to me thanks.
spam,VIP access unlocked. No purchase necessary.
ham,Meeting moved to Friday at the cafe.
ham,On my way now tomorrow.
ham,Thanks for your help thanks.
ham,Don’t forget to bring the charger after work.
spam,0% interest loan. Act fast.
spam,Free subscription today. Only today.
ham,Thanks for your help later.
spam,You are a lucky winner. Reply STOP to opt out.
ham,That sounds good to me later.
ham,Project status looks good later.
spam,Cheap meds available. Call 0906 123 4567.
ham,Thanks for your help at the cafe.
spam,Pre-approved credit. 100% guaranteed.
spam,Claim your FREE reward. Only today.
spam,You are a lucky winner. Click http://bit.ly/win.
spam,Final notice for reward. No purchase necessary.
ham,Don’t forget to bring the charger before noon.
spam,Cheap meds available. Click http://bit.ly/win.
ham,That sounds good to me today.
spam,0% interest loan. Terms apply.
spam,Lottery payout ready. Call 0906 123 4567.
ham,See you at the office after work.
ham,That sounds good to me at the cafe.
spam,Cheap meds available. Terms apply.
ham,Great job on the report when you're free.
spam,You won a gift card. Act fast.
spam,Lottery payout ready. Call 0906 123 4567.
ham,See you at the office later.
spam,Cheap meds available. Act fast.
spam,Final notice for reward. Terms apply.
ham,On my way now at the cafe.
spam,Claim your FREE reward. No purchase necessary.
ham,Please review the document when you're free.
ham,Great job on the report when you're free.
ham,See you at the office when you're free.
spam,Claim your FREE reward. Text WIN to 80055.
ham,Family dinner tonight? at the cafe.
spam,WIN a prize now. Act fast.
spam,Click this link to verify. Text WIN to 80055.
ham,Please review the document before noon.
spam,0% interest loan. Act fast.
ham,Project status looks good when you're free.
ham,Talk soon before noon.
ham,Where did you park at the library.
spam,Claim your FREE reward. Call 0906 123 4567.
ham,That sounds good to me after work.
ham,Email me the details after work.
ham,Hey are we still meeting today.
ham,Let’s catch up tomorrow please.
spam,You have been selected. Act fast.
spam,Click this link to verify. Reply STOP to opt out.
ham,Family dinner tonight? after work.
ham,Happy birthday have a great day tomorrow.
ham,That sounds good to me before noon.
ham,Where did you park thanks.
ham,Let’s catch up tomorrow after work.
spam,Pre-approved credit. Text WIN to 80055.
spam,WIN a prize now. Click http://bit.ly/win.
ham,Meeting moved to Friday later.
ham,Lunch at 1 pm? at the cafe.
ham,Don’t forget to bring the charger at the library.
spam,Cheap meds available. Text WIN to 80055.
spam,Click this link to verify. Click http://bit.ly/win.
ham,Thanks for your help later.
ham,On my way now tomorrow.
spam,Lottery payout ready. No purchase necessary.
ham,Great job on the report later.
ham,Talk soon please.
spam,0% interest loan. 100% guaranteed.
ham,Lunch at 1 pm? today.
spam,URGENT! call now. Reply STOP to opt out.
ham,Let’s catch up tomorrow thanks.
ham,Hey are we still meeting later.
ham,Don’t forget to bring the charger at the cafe.
ham,Hey are we still meeting please.
spam,Final notice for reward. No purchase necessary.
spam,You are a lucky winner. Only today.
ham,Can you send the notes later.
ham,Hey are we still meeting before noon.
spam,URGENT! call now. Click http://bit.ly/win.
ham,Email me the details when you're free.
spam,Act now to claim. Terms apply.
ham,Where did you park after work.
ham,Talk soon thanks.
spam,Click this link to verify. Act fast.
spam,You are a lucky winner. Reply STOP to opt out.
ham,I will call you later after work.
spam,URGENT! call now. Limited stock.
ham,Don’t forget to bring the charger at the cafe.
ham,Project status looks good after work.
ham,That sounds good to me later.
ham,Project status looks good when you're free.
spam,You have been selected. Terms apply.
spam,Pre-approved credit. Act fast.
ham,Can you send the notes later.
ham,Great job on the report today.
spam,You are a lucky winner. 100% guaranteed.
ham,That sounds good to me tomorrow.
spam,VIP access unlocked. Click http://bit.ly/win.
ham,Hey are we still meeting tomorrow.
spam,0% interest loan. Limited stock.
spam,WIN a prize now. Act fast.
spam,Claim your FREE reward. No purchase necessary.
spam,Pre-approved credit. Terms apply.
spam,Act now to claim. Call 0906 123 4567.
spam,You won a gift card. Act fast.
spam,Cheap meds available. Only today.
spam,Congratulations you won. No purchase necessary.
spam,Pre-approved credit. No purchase necessary.
spam,Click this link to verify. No purchase necessary.
ham,Don’t forget to bring the charger later.
ham,On my way now when you're free.
spam,VIP access unlocked. Click http://bit.ly/win.
ham,Project status looks good at the cafe.
ham,Happy birthday have a great day thanks.
ham,On my way now at the cafe.
ham,That sounds good to me thanks.
ham,Project status looks good before noon.
ham,Let’s catch up tomorrow before noon.
ham,See you at the office please.
spam,You have been selected. Call 0906 123 4567.
ham,See you at the office when you're free.
ham,Let’s catch up tomorrow later.
ham,See you at the office later.
spam,Congratulations you won. Click http://bit.ly/win.
ham,On my way now tomorrow.
spam,Lottery payout ready. Text WIN to 80055.
ham,Talk soon at the cafe.
spam,URGENT! call now. 100% guaranteed.
spam,VIP access unlocked. Text WIN to 80055.
ham,Email me the details please.
ham,Please review the document thanks.
ham,Project status looks good please.
ham,Great job on the report later.
ham,Talk soon tomorrow.
ham,Stuck in traffic will be late before noon.
spam,Exclusive offer just for you. Terms apply.
ham,Project status looks good today.
spam,Free subscription today. Call 0906 123 4567.
spam,Act now to claim. Click http://bit.ly/win.
spam,Final notice for reward. No purchase necessary.
spam,Final notice for reward. 100% guaranteed.
ham,Please review the document before noon.
spam,You won a gift card. Act fast.
spam,0% interest loan. Call 0906 123 4567.
spam,Limited time offer. 100% guaranteed.
ham,Stuck in traffic will be late later.
ham,Let’s catch up tomorrow before noon.
spam,Act now to claim. Click http://bit.ly/win.
spam,0% interest loan. Act fast.
spam,Pre-approved credit. Call 0906 123 4567.
spam,0% interest loan. Act fast.
ham,That sounds good to me before noon.
spam,WIN a prize now. Terms apply.
spam,Click this link to verify. Terms apply.
spam,Congratulations you won. Call 0906 123 4567.
spam,You have been selected. Limited stock.
spam,Congratulations you won. Text WIN to 80055.
ham,On my way now after work.
spam,Earn $$$ working from home. Terms apply.
ham,Let’s catch up tomorrow after work.
ham,Can you send the notes when you're free.
ham,Please review the document please.
ham,Great job on the report when you're free.
spam,You are a lucky winner. Click http://bit.ly/win.
ham,Meeting moved to Friday at the cafe.
spam,Congratulations you won. Click http://bit.ly/win.
spam,URGENT! call now. Reply STOP to opt out.
spam,Limited time offer. Terms apply.
ham,On my way now when you're free.
spam,URGENT! call now. Act fast.
spam,You won a gift card. Only today.
spam,URGENT! call now. Limited stock.
spam,Lottery payout ready. No purchase necessary.
spam,Congratulations you won. Click http://bit.ly/win.
spam,Earn $$$ working from home. 100% guaranteed.
ham,On my way now later.
ham,Where did you park when you're free.
ham,Can you send the notes later.
spam,Get rich quick scheme. No purchase necessary.
spam,Earn $$$ working from home. Terms apply.
spam,URGENT! call now. Text WIN to 80055.
ham,Email me the details later.
ham,Thanks for your help when you're free.
spam,Final notice for reward. Reply STOP to opt out.
spam,VIP access unlocked. No purchase necessary.
ham,Thanks for your help at the cafe.
ham,Please review the document later.
spam,Congratulations you won. Text WIN to 80055.
spam,Exclusive offer just for you. Only today.
spam,You won a gift card. Reply STOP to opt out.
ham,Project status looks good later.
ham,Project status looks good at the library.
spam,Pre-approved credit. Only today.
spam,WIN a prize now. Only today.
ham,Thanks for your help later.
spam,Pre-approved credit. Call 0906 123 4567.
spam,Act now to claim. Click http://bit.ly/win.
spam,Cheap meds available. Call 0906 123 4567.
spam,Act now to claim. Text WIN to 80055.
ham,Where did you park tomorrow.
ham,Let’s catch up tomorrow when you're free.
ham,See you at the office before noon.
spam,URGENT! call now. Text WIN to 80055.
ham,Can you send the notes at the library.
spam,Pre-approved credit. 100% guaranteed.
ham,Thanks for your help before noon.
ham,Talk soon today.
spam,VIP access unlocked. 100% guaranteed.
spam,Get rich quick scheme. 100% guaranteed.
ham,Talk soon at the library.
spam,Claim your FREE reward. Reply STOP to opt out.
ham,Where did you park thanks.
ham,Can you send the notes after work.
ham,Lunch at 1 pm? later.
ham,Thanks for your help later.
spam,Exclusive offer just for you. Only today.
spam,You won a gift card. Click http://bit.ly/win.
spam,You won a gift card. Reply STOP to opt out.
spam,Free subscription today. Terms apply.
spam,VIP access unlocked. Act fast.
ham,Talk soon please.
spam,Act now to claim. No purchase necessary.
