label,text
Not Spam,Lunch at 1 pm tomorrow.
Not harmful,I enjoyed the movie talk later.
Not harmful,Meeting went well all good.
Not Spam,Lunch at 1 pm thanks.
Spam,Cheap meds available. Call 0906 123 4567.
Harmful,Unrecognized sign in attempt confirm details. http://example-security-check.com.
Not Spam,Hey are we still meeting at 3 at the cafe.
Not Spam,Lunch at 1 pm today.
Harmful,Payment failed update billing information. This is an automated alert.
Not Spam,Project status looks good before noon.
Harmful,Payment failed update billing information. Do not share this code.
Harmful,Payment failed update billing information. Failure to act may lead to suspension.
Not harmful,Coffee was great for your info.
Not Spam,Can you send the notes in room 204.
Harmful,Authentication issue follow this link to resolve. Confirm within 24 hours.
Not harmful,The weather is nice today okay.
Spam,Limited time offer. Terms apply.
Not harmful,Coffee was great take care.
Not harmful,Remember to water the plants all good.
Harmful,Payment failed update billing information. Do not share this code.
Harmful,Password expired immediately verify your account. http://example-security-check.com.
Not Spam,Where did you park when you're free.
Harmful,Invoice attached open to view. Confirm within 24 hours.
Not harmful,Remember to water the plants talk later.
Spam,WIN a prize now. Act fast.
Not Spam,Hey are we still meeting at 3 when you're free.
Not harmful,Dinner was delicious just a note.
Not Spam,Lunch at 1 pm today.
Not Spam,On my way now when you're free.
Not Spam,Can you send the notes at the library.
Harmful,Password expired immediately verify your account. This is an automated alert.
Spam,Exclusive offer just for you. No purchase necessary.
Not Spam,Let’s catch up tomorrow please.
Harmful,Authentication issue follow this link to resolve. Unusual activity detected.
Spam,Congratulations you won. Only today.
Not Spam,Where did you park at the library.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Harmful,Payment failed update billing information. Urgent response needed.
Not harmful,The weather is nice today no rush.
Not Spam,Please review the document thanks.
Not harmful,The weather is nice today all good.
Not Spam,Lunch at 1 pm after work.
Not Spam,Can you send the notes in room 204.
Not harmful,I enjoyed the movie just a note.
Harmful,Tax refund available confirm bank details. http://short.co/verify.
Harmful,Tax refund available confirm bank details. We will disable your account.
Spam,URGENT call now. Act fast.
Not Spam,Let’s catch up tomorrow thanks.
Not harmful,I enjoyed the movie no rush.
Spam,Exclusive offer just for you. Click http://bit.ly/win.
Not Spam,Family dinner tonight before noon.
Not harmful,Coffee was great for your info.
Not Spam,Project status looks good tomorrow.
Not harmful,Let's schedule a game night see you soon.
Not Spam,Let’s catch up tomorrow tomorrow.
Spam,Claim your FREE reward. Terms apply.
Not Spam,Project status looks good tomorrow.
Not harmful,Coffee was great take care.
Spam,WIN a prize now. Click http://bit.ly/win.
Not Spam,Hey are we still meeting at 3 before noon.
Spam,URGENT call now. Call 0906 123 4567.
Not harmful,I enjoyed the movie just a note.
Spam,Exclusive offer just for you. Reply STOP to opt out.
Not Spam,Thanks for your help after work.
Not Spam,Where did you park today.
Not harmful,Meeting went well all good.
Spam,You are a lucky winner. Reply STOP to opt out.
Spam,Claim your FREE reward. Terms apply.
Harmful,Unrecognized sign in attempt confirm details. Unusual activity detected.
Spam,URGENT call now. Call 0906 123 4567.
Spam,URGENT call now. Call 0906 123 4567.
Spam,Exclusive offer just for you. Limited stock.
Not harmful,Meeting went well for your info.
Not Spam,Family dinner tonight in room 204.
Spam,Claim your FREE reward. No purchase necessary.
Harmful,Payment failed update billing information. Confirm within 24 hours.
Spam,You have been selected. Reply STOP to opt out.
Not harmful,The weather is nice today talk later.
Not Spam,Lunch at 1 pm thanks.
Spam,You are a lucky winner. Click http://bit.ly/win.
Not Spam,On my way now tomorrow.
Harmful,Authentication issue follow this link to resolve. We will disable your account.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Harmful,Tax refund available confirm bank details. Failure to act may lead to suspension.
Not harmful,Coffee was great okay.
Not Spam,Lunch at 1 pm before noon.
Spam,Exclusive offer just for you. Terms apply.
Not Spam,Where did you park thanks.
Not harmful,Let's schedule a game night no action needed.
Harmful,Authentication issue follow this link to resolve. http://example-security-check.com.
Harmful,Security alert action required to keep access. Urgent response needed.
Spam,Claim your FREE reward. Text WIN to 80055.
Harmful,Password expired immediately verify your account. Urgent response needed.
Not Spam,Let’s catch up tomorrow thanks.
Spam,URGENT call now. Call 0906 123 4567.
Not Spam,Please review the document tomorrow.
Spam,You are a lucky winner. Call 0906 123 4567.
Not Spam,Let’s catch up tomorrow at the cafe.
Not Spam,Can you send the notes please.
Harmful,Unrecognized sign in attempt confirm details. http://example-security-check.com.
Spam,URGENT call now. No purchase necessary.
Harmful,Security alert action required to keep access. Do not share this code.
Harmful,Tax refund available confirm bank details. Confirm within 24 hours.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not harmful,Coffee was great thanks.
Not harmful,Your package should arrive tomorrow just a note.
Harmful,Suspicious activity detected verify now. We will disable your account.
Harmful,Tax refund available confirm bank details. Do not share this code.
Not harmful,I enjoyed the movie thanks.
Not Spam,Let’s catch up tomorrow when you're free.
Harmful,Delivery failed reschedule by confirming your info. We will disable your account.
Not Spam,Please review the document tomorrow.
Not harmful,Remember to water the plants thanks.
Not harmful,Meeting went well talk later.
Spam,URGENT call now. 100% guaranteed.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Harmful,Tax refund available confirm bank details. Do not share this code.
Harmful,Authentication issue follow this link to resolve. Open the attachment to proceed.
Harmful,Payment failed update billing information. This is an automated alert.
Not Spam,Thanks for your help today.
Not Spam,Thanks for your help before noon.
Not Spam,Project status looks good before noon.
Spam,You are a lucky winner. Act fast.
Harmful,Payment failed update billing information. This is an automated alert.
Not harmful,I enjoyed the movie see you soon.
Not harmful,I enjoyed the movie see you soon.
Not harmful,Meeting went well thanks.
Spam,URGENT call now. Reply STOP to opt out.
Spam,Limited time offer. 100% guaranteed.
Spam,Exclusive offer just for you. Click http://bit.ly/win.
Spam,Limited time offer. Reply STOP to opt out.
Not harmful,Remember to water the plants all good.
Harmful,Tax refund available confirm bank details. Urgent response needed.
Spam,WIN a prize now. Limited stock.
Harmful,Unrecognized sign in attempt confirm details. Urgent response needed.
Not harmful,Your package should arrive tomorrow no action needed.
Not Spam,Family dinner tonight tomorrow.
Not Spam,Can you send the notes tomorrow.
Harmful,Authentication issue follow this link to resolve. Unusual activity detected.
Not Spam,Where did you park thanks.
Not Spam,Family dinner tonight at the library.
Not harmful,Coffee was great all good.
Spam,WIN a prize now. Terms apply.
Not Spam,Where did you park at the cafe.
Not Spam,Let’s catch up tomorrow when you're free.
Spam,Limited time offer. Click http://bit.ly/win.
Not harmful,Dinner was delicious talk later.
Not Spam,Can you send the notes after work.
Not Spam,Let’s catch up tomorrow today.
Harmful,Password expired immediately verify your account. We will disable your account.
Spam,Congratulations you won. 100% guaranteed.
Not Spam,Let’s catch up tomorrow in room 204.
Not harmful,This is a reminder to back up your files take care.
Spam,Limited time offer. Click http://bit.ly/win.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Not harmful,Meeting went well just a note.
Not harmful,I enjoyed the movie see you soon.
Not Spam,Let’s catch up tomorrow when you're free.
Spam,Exclusive offer just for you. Reply STOP to opt out.
Harmful,Invoice attached open to view. http://example-security-check.com.
Not Spam,Please review the document tomorrow.
Harmful,Unrecognized sign in attempt confirm details. Do not share this code.
Spam,You have been selected. Call 0906 123 4567.
Not harmful,This is a reminder to back up your files just a note.
Not Spam,Project status looks good at the library.
Not Spam,Family dinner tonight today.
Harmful,Payment failed update billing information. We will disable your account.
Not Spam,Family dinner tonight at the cafe.
Not Spam,Where did you park tomorrow.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Not harmful,The weather is nice today all good.
Harmful,Security alert action required to keep access. This is an automated alert.
Spam,WIN a prize now. No purchase necessary.
Not harmful,This is a reminder to back up your files no action needed.
Not Spam,Let’s catch up tomorrow tomorrow.
Spam,You are a lucky winner. Call 0906 123 4567.
Not Spam,Project status looks good thanks.
Not Spam,Please review the document after work.
Not harmful,The file has been saved talk later.
Harmful,Security alert action required to keep access. This is an automated alert.
Harmful,Unrecognized sign in attempt confirm details. Do not share this code.
Harmful,Tax refund available confirm bank details. http://short.co/verify.
Not Spam,Please review the document thanks.
Spam,Congratulations you won. No purchase necessary.
Harmful,Payment failed update billing information. Unusual activity detected.
Spam,WIN a prize now. No purchase necessary.
Spam,Cheap meds available. Reply STOP to opt out.
Not Spam,Please review the document before noon.
Spam,You are a lucky winner. Only today.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Spam,You have been selected. Reply STOP to opt out.
Spam,Cheap meds available. Click http://bit.ly/win.
Spam,WIN a prize now. Text WIN to 80055.
Harmful,Your account was locked click the link to unlock. Urgent response needed.
Harmful,Delivery failed reschedule by confirming your info. This is an automated alert.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Not harmful,This is a reminder to back up your files see you soon.
Not harmful,Remember to water the plants no rush.
Not harmful,Meeting went well okay.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Not Spam,Project status looks good thanks.
Spam,Claim your FREE reward. Limited stock.
Spam,Limited time offer. Limited stock.
Harmful,Payment failed update billing information. We will disable your account.
Harmful,Password expired immediately verify your account. Do not share this code.
Not Spam,Hey are we still meeting at 3 please.
Spam,Congratulations you won. Click http://bit.ly/win.
Spam,Congratulations you won. No purchase necessary.
Not harmful,Let's schedule a game night just a note.
Spam,Limited time offer. Limited stock.
Spam,Congratulations you won. Terms apply.
Not harmful,Remember to water the plants just a note.
Harmful,Unrecognized sign in attempt confirm details. This is an automated alert.
Spam,You have been selected. Text WIN to 80055.
